id;exercise_name;body_part;equipment;target;location;style;difficulty;duration_type;default_sets;default_reps;desc;movement_pattern;duration_unit
1;3/4 sit-up;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
2;45° side bend;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
3;air bike;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;cardio;reps
4;all fours squad stretch;upper legs;body weight;quads;both;mobility_flexibility, calisthenics;beginner;time;2;30;;flexibility;seconds
5;alternate heel touchers;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
6;alternate lateral pulldown;back;cable;lats;gym;strength_training;intermediate;reps;3;10;;vertical_pull;reps
7;ankle circles;lower legs;body weight;calves;both;calisthenics;intermediate;reps;3;12;;isolation_calves;reps
8;archer pull up;back;body weight;lats;both;calisthenics;intermediate;reps;3;12;;vertical_pull;reps
9;archer push up;chest;body weight;pectorals;both;calisthenics;intermediate;reps;3;12;;horizontal_push;reps
10;arm slingers hanging bent knee legs;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
11;arm slingers hanging straight legs;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
12;arms apart circular toe touch;upper legs;body weight;glutes;both;calisthenics;intermediate;reps;3;12;;glute_isolation;reps
13;arms overhead full sit-up;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
14;assisted chest dip (kneeling);chest;leverage machine;pectorals;gym;strength_training;beginner;reps;3;10;;horizontal_push;reps
15;assisted hanging knee raise;waist;assisted;abs;both;strength_training;intermediate;reps;3;10;;core;reps
16;assisted hanging knee raise with throw down;waist;assisted;abs;both;strength_training;intermediate;reps;3;10;;core;reps
17;assisted lying calves stretch;lower legs;assisted;calves;both;mobility_flexibility;beginner;time;2;30;;flexibility;seconds
18;assisted lying glutes stretch;upper legs;assisted;glutes;both;mobility_flexibility;beginner;time;2;30;;flexibility;seconds
19;assisted lying gluteus and piriformis stretch;upper legs;assisted;glutes;both;mobility_flexibility;beginner;time;2;30;;flexibility;seconds
20;assisted lying leg raise with lateral throw down;waist;assisted;abs;both;strength_training;intermediate;reps;3;10;;core;reps
21;assisted lying leg raise with throw down;waist;assisted;abs;both;strength_training;intermediate;reps;3;10;;core;reps
22;assisted motion russian twist;waist;medicine ball;abs;both;strength_training;intermediate;reps;3;10;;core;reps
23;assisted parallel close grip pull-up;back;leverage machine;lats;gym;strength_training;intermediate;reps;3;10;;isolation_lats;reps
24;assisted prone hamstring;upper legs;assisted;hamstrings;both;mobility_flexibility;beginner;time;2;30;;flexibility;seconds
25;assisted prone lying quads stretch;upper legs;assisted;quads;both;mobility_flexibility;beginner;time;2;30;;flexibility;seconds
26;assisted prone rectus femoris stretch;waist;assisted;abs;both;mobility_flexibility;beginner;time;2;30;;flexibility;seconds
27;assisted pull-up;back;leverage machine;lats;gym;strength_training;intermediate;reps;3;10;;isolation_lats;reps
28;assisted seated pectoralis major stretch with stability ball;chest;assisted;pectorals;both;mobility_flexibility;beginner;time;2;30;;flexibility;seconds
29;assisted side lying adductor stretch;upper legs;assisted;adductors;both;mobility_flexibility;beginner;time;2;30;;flexibility;seconds
30;assisted sit-up;waist;assisted;abs;both;strength_training;intermediate;reps;3;10;;core;reps
31;assisted standing chin-up;back;leverage machine;lats;gym;strength_training;intermediate;reps;3;10;;isolation_lats;reps
32;assisted standing pull-up;back;leverage machine;lats;gym;strength_training;intermediate;reps;3;10;;isolation_lats;reps
33;assisted standing triceps extension (with towel);upper arms;assisted;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
34;assisted triceps dip (kneeling);upper arms;leverage machine;triceps;gym;strength_training;beginner;reps;3;10;;isolation_triceps;reps
35;assisted wide-grip chest dip (kneeling);chest;leverage machine;pectorals;gym;strength_training;beginner;reps;3;10;;horizontal_push;reps
36;astride jumps (male);full body;body weight;cardiovascular system;both;hiit, cardio, calisthenics;beginner;time;1;50;;cardio;seconds
37;back and forth step;full body;body weight;cardiovascular system;both;cardio,calisthenics;beginner;time;1;50;;cardio;minutes
38;back extension on exercise ball;back;stability ball;spine;both;calisthenics;intermediate;reps;3;12;;isolation_spine;reps
39;back lever;back;body weight;upper back;both;calisthenics;advanced;reps;3;12;;isolation_upper_back;reps
40;back pec stretch;back;body weight;lats;both;mobility_flexibility, calisthenics;beginner;time;2;30;;flexibility;seconds
41;backward jump;upper legs;body weight;quads;both;hiit, calisthenics;intermediate;time;8;20;;cardio;seconds
42;balance board;upper legs;body weight;quads;both;calisthenics;intermediate;reps;3;12;;isolation_quads;reps
43;band alternating biceps curl;upper arms;band;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
44;band alternating v-up;waist;band;abs;both;strength_training;intermediate;reps;3;10;;core;reps
45;band assisted pull-up;back;band;lats;both;strength_training;intermediate;reps;3;10;;isolation_lats;reps
46;band assisted wheel rollerout;waist;band;abs;both;strength_training;intermediate;reps;3;10;;core;reps
47;band bench press;chest;band;pectorals;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
48;band bent-over hip extension;upper legs;band;glutes;both;strength_training;intermediate;reps;3;10;;glute_isolation;reps
49;band bicycle crunch;waist;band;abs;both;strength_training;intermediate;reps;3;10;;core;reps
